,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2018-07-22,43.0,25.0,45.0,52.0,59.0,49.0,16.0,27.0,13.0
2018-07-29,46.0,49.0,44.0,55.0,54.0,25.0,17.0,24.0,13.0
2018-08-05,48.0,33.0,44.0,52.0,61.0,35.0,11.0,23.0,16.0
2018-08-12,49.0,40.0,52.0,59.0,63.0,28.0,20.0,18.0,20.0
2018-08-19,100.0,30.0,47.0,55.0,62.0,35.0,17.0,25.0,16.0
2018-08-26,52.0,40.0,39.0,50.0,57.0,58.0,18.0,25.0,20.0
2018-09-02,52.0,33.0,38.0,62.0,60.0,22.0,18.0,20.0,25.0
2018-09-09,61.0,31.0,53.0,58.0,58.0,37.0,22.0,26.0,24.0
2018-09-16,49.0,33.0,49.0,57.0,78.0,47.0,30.0,32.0,21.0
2018-09-23,44.0,53.0,47.0,60.0,57.0,60.0,30.0,25.0,23.0
2018-09-30,47.0,29.0,53.0,60.0,55.0,71.0,30.0,23.0,19.0
2018-10-07,37.0,41.0,46.0,73.0,66.0,30.0,28.0,24.0,20.0
2018-10-14,53.0,41.0,36.0,68.0,63.0,35.0,27.0,25.0,19.0
2018-10-21,70.0,41.0,67.0,67.0,78.0,70.0,28.0,22.0,17.0
2018-10-28,45.0,44.0,58.0,59.0,65.0,55.0,32.0,24.0,26.0
2018-11-04,46.0,44.0,62.0,63.0,66.0,90.0,33.0,23.0,21.0
2018-11-11,44.0,49.0,50.0,62.0,82.0,73.0,32.0,25.0,18.0
2018-11-18,52.0,42.0,44.0,57.0,60.0,35.0,29.0,20.0,21.0
2018-11-25,63.0,27.0,35.0,60.0,77.0,76.0,34.0,25.0,22.0
2018-12-02,61.0,48.0,55.0,57.0,76.0,37.0,30.0,22.0,17.0
2018-12-09,55.0,41.0,39.0,61.0,75.0,25.0,43.0,30.0,23.0
2018-12-16,51.0,56.0,48.0,60.0,63.0,47.0,41.0,28.0,28.0
2018-12-23,55.0,64.0,38.0,44.0,50.0,22.0,50.0,34.0,38.0
2018-12-30,35.0,42.0,49.0,55.0,62.0,42.0,55.0,28.0,29.0
2019-01-06,68.0,47.0,50.0,58.0,69.0,43.0,48.0,33.0,22.0
2019-01-13,58.0,35.0,42.0,61.0,65.0,42.0,38.0,25.0,23.0
2019-01-20,55.0,50.0,55.0,67.0,71.0,53.0,37.0,31.0,24.0
2019-01-27,41.0,36.0,50.0,59.0,73.0,38.0,32.0,34.0,21.0
2019-02-03,62.0,35.0,67.0,61.0,51.0,67.0,44.0,40.0,27.0
2019-02-10,51.0,43.0,53.0,64.0,74.0,68.0,44.0,35.0,31.0
2019-02-17,59.0,33.0,45.0,62.0,84.0,35.0,33.0,33.0,26.0
2019-02-24,44.0,33.0,44.0,59.0,73.0,42.0,33.0,34.0,21.0
2019-03-03,47.0,41.0,66.0,64.0,69.0,48.0,29.0,28.0,17.0
2019-03-10,66.0,42.0,56.0,65.0,70.0,80.0,28.0,29.0,24.0
2019-03-17,64.0,27.0,55.0,76.0,73.0,55.0,28.0,35.0,31.0
2019-03-24,62.0,33.0,49.0,66.0,78.0,43.0,34.0,42.0,26.0
2019-03-31,45.0,49.0,67.0,67.0,74.0,37.0,29.0,28.0,25.0
2019-04-07,60.0,49.0,64.0,62.0,86.0,61.0,30.0,43.0,23.0
2019-04-14,52.0,86.0,56.0,57.0,60.0,56.0,29.0,34.0,28.0
2019-04-21,48.0,62.0,50.0,52.0,64.0,58.0,26.0,31.0,24.0
2019-04-28,66.0,62.0,74.0,62.0,70.0,41.0,26.0,28.0,23.0
2019-05-05,48.0,40.0,75.0,56.0,70.0,86.0,22.0,32.0,17.0
2019-05-12,59.0,53.0,54.0,59.0,60.0,49.0,25.0,43.0,19.0
2019-05-19,43.0,31.0,42.0,61.0,70.0,55.0,22.0,35.0,28.0
2019-05-26,47.0,48.0,43.0,52.0,68.0,54.0,19.0,36.0,14.0
2019-06-02,37.0,39.0,81.0,54.0,60.0,27.0,22.0,30.0,18.0
2019-06-09,49.0,28.0,59.0,54.0,63.0,47.0,23.0,26.0,15.0
2019-06-16,45.0,38.0,39.0,60.0,65.0,43.0,25.0,38.0,18.0
2019-06-23,45.0,40.0,48.0,55.0,61.0,28.0,19.0,47.0,21.0
2019-06-30,48.0,28.0,43.0,63.0,59.0,50.0,25.0,41.0,20.0
2019-07-07,47.0,27.0,46.0,55.0,72.0,55.0,23.0,35.0,19.0
2019-07-14,41.0,29.0,43.0,57.0,78.0,43.0,16.0,29.0,21.0
2019-07-21,50.0,27.0,47.0,55.0,64.0,46.0,19.0,22.0,19.0
2019-07-28,54.0,15.0,44.0,50.0,63.0,47.0,18.0,25.0,19.0
2019-08-04,43.0,34.0,61.0,52.0,62.0,18.0,18.0,21.0,17.0
2019-08-11,46.0,22.0,46.0,52.0,59.0,50.0,21.0,20.0,11.0
2019-08-18,36.0,28.0,44.0,64.0,63.0,44.0,17.0,21.0,19.0
2019-08-25,50.0,37.0,63.0,57.0,55.0,33.0,17.0,23.0,24.0
