,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2020-03-15,64.0,39.0,29.0,55.0,85.0,59.0,100.0,100.0,72.0
2020-03-22,69.0,41.0,40.0,47.0,70.0,41.0,93.0,98.0,100.0
2020-03-29,75.0,49.0,54.0,51.0,65.0,72.0,64.0,78.0,54.0
2020-04-05,88.0,100.0,56.0,56.0,66.0,34.0,63.0,58.0,32.0
2020-04-12,84.0,70.0,47.0,53.0,69.0,51.0,34.0,54.0,29.0
2020-04-19,99.0,47.0,49.0,63.0,74.0,36.0,33.0,47.0,27.0
2020-04-26,78.0,36.0,41.0,68.0,78.0,36.0,31.0,45.0,23.0
2020-05-03,91.0,46.0,40.0,67.0,71.0,66.0,26.0,55.0,20.0
2020-05-10,68.0,44.0,33.0,60.0,69.0,60.0,22.0,41.0,21.0
2020-05-17,66.0,34.0,35.0,73.0,77.0,68.0,27.0,45.0,19.0
2020-05-24,71.0,37.0,36.0,69.0,78.0,57.0,23.0,50.0,18.0
2020-05-31,75.0,33.0,30.0,75.0,78.0,47.0,23.0,28.0,14.0
2020-06-07,82.0,38.0,36.0,63.0,71.0,45.0,23.0,41.0,19.0
2020-06-14,74.0,32.0,25.0,71.0,67.0,39.0,36.0,35.0,36.0
2020-06-21,77.0,33.0,28.0,67.0,77.0,25.0,48.0,31.0,52.0
2020-06-28,88.0,36.0,26.0,76.0,66.0,58.0,43.0,53.0,37.0
2020-07-05,64.0,29.0,28.0,75.0,74.0,50.0,47.0,41.0,41.0
2020-07-12,66.0,31.0,30.0,65.0,76.0,37.0,42.0,46.0,30.0
2020-07-19,79.0,30.0,34.0,81.0,88.0,51.0,40.0,42.0,23.0
